File,Câu,Câu hỏi,A,B,C,D,Đáp án,Trạng thái
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,2,Phát biểu nào sau đây KHÔNG thuộc lợi ích của quản trị tri thức?,Sử dụng công nghệ lỗi thời,Nhân viên không được đào tạo để sử dụng hệ thống ,Bảo mật quá nghiêm ngặt,Tri thức không cần thiết,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,6,Điều gì làm cho việc xác định giá trị của tri thức trong tổ chức trở nên phức tạp?,Tuyển dụng nhân sự mới,Khả năng ra quyết định chính xác và nhanh chóng ,Tăng ngân sách Marketing,Giảm chi phí cố định,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,10,Yếu tố nào sau đây KHÔNG được đề cập là một cơ chế xã hội/phi công nghệ hỗ trợ KM?,Tăng chi phí vận hành,Mã hóa hệ thống bảo mật,Giảm thiểu số lượng nhân viên,"Chia sẻ tri thức đúng người, đúng thời điểm ",,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,14,"Trong bối cảnh cạnh tranh toàn cầu, quản trị tri thức giúp tổ chức đạt được điều gì?",Vốn con người (human capital),Vốn tài chính (financial capital),Vốn tổ chức (organizational capital) ,Vốn xã hội (social capital),,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,18,Điều gì làm cho hệ thống quản trị tri thức (KM) khác biệt căn bản so với hệ thống thông tin (IS) truyền thống?,Phát triển chuỗi cung ứng,Cắt giảm nhân sự quy mô lớn ,Thương mại điện tử,Tăng trưởng bền vững,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,22,Hệ thống quản trị tri thức (KMS) là gì?,Tốc độ phản ứng với sự biến động của môi trường kinh doanh cần nhanh hơn,Tỷ lệ nhân viên nghỉ việc cao,Sự phát triển của văn hóa doanh nghiệp ,Sự phức tạp ngày càng tăng của lĩnh vực chuyên môn,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,26,Đâu là vai trò của công nghệ trong hệ thống quản trị tri thức?,Lưu trữ tài liệu hành chính,Truyền tri thức cho đối thủ,Áp dụng tri thức sẵn có vào quyết định và hành động ,Tạo tri thức mới,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,30,Việc ra quyết định ngày càng trở nên khó khăn do yếu tố nào sau đây?,Tăng mức độ bảo mật thông tin,Tăng chi phí và giảm lợi nhuận ,Giảm chất lượng sản phẩm,Tăng độ hài lòng khách hàng,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,34,Công nghệ thông tin (IT) đóng vai trò gì trong quản trị tri thức?,2,4 ,3,5,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,38,Knowledge Management (KM) được định nghĩa đơn giản nhất là gì?,Không có đủ giấy tờ in ấn,Khó khăn trong việc chia sẻ tri thức ẩn ,Thiếu ngân sách quảng cáo,Quá nhiều cuộc họp nội bộ,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,42,"Khi tri thức bị mất đi sau đợt cắt giảm nhân sự, điều gì thường xảy ra trong tổ chức?",Vì việc chia sẻ tri thức không được khuyến khích và ghi nhận ,Vì thiếu ngân sách CNTT,Vì nhân viên không có kỹ năng mềm,Vì tổ chức không có văn phòng hiện đại,,Đúng
Chapter 1 - Mini Test_ Xem lại lần làm thử.txt,46,"""Tri thức có tính tự phát triển"" nghĩa là gì?",Hệ thống thu thập dữ liệu,Hệ thống CRM,Hệ thống chia sẻ tri thức (Knowledge Sharing Systems) ,Hệ thống kế toán,,Đúng
